ProductID,ProductName,Category,SubCategory,UnitPrice,Supplier
1,Laptop,Electronics,Laptop,34621.30,"BlueOcean Vendors"
2,"Mobile Phone",Electronics,"Mobile Phone",23392.15,"Sunrise Traders"
3,Headphones,Electronics,Headphones,21346.77,"Nova Logistics"
4,Monitor,Electronics,Monitor,54787.84,"Nova Logistics"
5,Printer,Electronics,Printer,14052.35,"Nova Logistics"
6,Router,Electronics,Router,47384.65,"Sunrise Traders"
7,"Office Chair",Furniture,"Office Chair",37511.50,"Sunrise Traders"
8,"Study Table",Furniture,"Study Table",37589.56,"Nova Logistics"
9,Bookshelf,Furniture,Bookshelf,41373.02,"BlueOcean Vendors"
10,Sofa,Furniture,Sofa,18907.60,"MetroMart Distributors"
11,Bed,Furniture,Bed,24081.66,"Prime Wholesale"
12,Notebook,Stationery,Notebook,477.52,"BlueOcean Vendors"
13,"Pen Set",Stationery,"Pen Set",48209.16,"MetroMart Distributors"
14,Whiteboard,Stationery,Whiteboard,53462.28,"Global Supplies Co."
15,"File Folder",Stationery,"File Folder",28070.19,"Sunrise Traders"
16,Marker,Stationery,Marker,47917.37,"MetroMart Distributors"
17,Microwave,Appliances,Microwave,46339.31,"Nova Logistics"
18,"Mixer Grinder",Appliances,"Mixer Grinder",33610.67,"Global Supplies Co."
19,"Water Purifier",Appliances,"Water Purifier",20753.09,"Global Supplies Co."
20,Fan,Appliances,Fan,29804.03,"Nova Logistics"
21,Iron,Appliances,Iron,50541.59,"Nova Logistics"
22,"Cricket Bat",Sports,"Cricket Bat",18031.34,"Sunrise Traders"
23,Football,Sports,Football,6419.16,"MetroMart Distributors"
24,"Yoga Mat",Sports,"Yoga Mat",48366.09,"MetroMart Distributors"
25,"Dumbbell Set",Sports,"Dumbbell Set",13398.04,"Global Supplies Co."
26,"Badminton Racket",Sports,"Badminton Racket",48327.13,"Sunrise Traders"
